runtime,director_popularity,actor1_popularity,actor2_popularity,actor3_popularity,actor4_popularity,actor5_popularity,cast_pop_mean,cast_pop_max,release_year,release_month,release_quarter,release_month_sin,release_month_cos,is_summer_release,is_holiday_release,release_is_missing,star_count,cast_popularity_std,cast_popularity_range,top2_cast_pop_sum,cast_gender_ratio,director_is_female,director_pop_missing,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,num_genres,keyword_count,keyword_unique_ratio,kw_woman_director,kw_based_on_novel_or_book,kw_short_film,kw_sequel,kw_based_on_true_story,kw_duringcreditsstinger,kw_murder,kw_lgbt,kw_aftercreditsstinger,kw_biography,kw_coming_of_age,kw_revenge,kw_superhero,kw_gay_theme,kw_friendship,kw_new_york_city,kw_based_on_comic,kw_family,kw_anime,kw_amused,kw_remake,kw_love,kw_dystopia,kw_dark_comedy,kw_absurd,lang_en,lang_fr,lang_es,lang_ja,lang_de,lang_it,lang_tl,lang_ko,lang_other,is_english,has_overview,overview_char_count,overview_word_count,overview_unique_word_ratio,has_budget,log_budget,runtime_missing,log_runtime,popularity
148,8.2813,12.2774,5.6445,4.5824,9.6156,4.8289,7.38976,12.2774,2010.0,7.0,3.0,-0.4999999999999998,-0.8660254037844388,1,0,0,5,3.403255612351209,7.695,21.893,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,20,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,280,44,0.8409090909090909,1,18.8906843794481,0,5.003946305945459,32.8952
100,5.1258,2.1981,1.978,1.8252,4.9563,2.1777,2.62706,4.9563,2010.0,11.0,4.0,-0.5000000000000004,0.8660254037844384,0,1,0,1,1.311063348202519,3.1311,7.1544,0.4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,286,50,0.86,1,19.376192192825954,0,4.61512051684126,19.876
124,4.0024,9.2587,5.5278,3.4058,17.8153,4.4974,8.101,17.8153,2010.0,4.0,2.0,0.8660254037844387,-0.49999999999999983,0,0,0,5,5.860036007141936,14.409500000000001,27.073999999999998,0.4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,1.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,372,63,0.7777777777777778,1,19.11382792951231,0,4.8283137373023015,13.79
95,2.0111,5.8392,2.9334,4.8379,0.7743,2.4183,3.36062,5.8392,2010.0,7.0,3.0,-0.4999999999999998,-0.8660254037844388,1,0,0,2,2.0053210508544512,5.0649,10.6771,0.6,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,18,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,287,49,0.8163265306122449,1,18.049617077054286,0,4.564348191467836,18.4625
146,1.4636,7.0936,9.4552,4.3204,3.1401,4.5939,5.72064,9.4552,2010.0,11.0,4.0,-0.5000000000000004,0.8660254037844384,0,1,0,5,2.535811474262233,6.315099999999999,16.5488,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,298,48,0.875,1,19.33697147982652,0,4.990432586778736,13.8146
138,6.5116,12.2774,6.3304,5.2239,2.7838,3.4178,6.00666,12.2774,2010.0,2.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,4,3.7791772792500753,9.4936,18.6078,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,16,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,219,32,0.90625,1,18.197537205138154,0,4.9344739331306915,16.0567
104,4.0504,1.4482,1.032,1.935,1.0299,0.4301,1.17504,1.935,2010.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,0,0.5587077169683626,1.5049000000000001,3.3832,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,39,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,318,54,0.8333333333333334,0,0.0,0,4.653960350157523,15.1791
108,5.1379,2.3812,13.44,13.9576,4.5939,2.892,7.45294,13.9576,2010.0,3.0,1.0,1.0,6.123233995736766e-17,0,0,0,3,5.763122400053637,11.5764,27.397599999999997,0.6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,19,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,139,26,0.9230769230769231,1,19.11382792951231,0,4.6913478822291435,10.9411
102,1.4612,8.1709,6.0004,3.5183,1.8064,3.2926,4.55772,8.1709,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,4,2.5192796385078013,6.3645,14.171299999999999,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,138,22,1.0,1,18.197537205138154,0,4.634728988229636,14.6812
107,0.9931,4.8916,3.2321,2.3868,6.5325,1.3633,3.68126,6.5325,2010.0,7.0,3.0,-0.4999999999999998,-0.8660254037844388,1,0,0,3,2.052121001062072,5.1692,11.4241,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,11,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,118,18,1.0,1,17.50439003707821,0,4.68213122712422,12.4268
